Player,TM,GM,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA  
"Setterfield, Will",CA,16,146,29,97,243,4,1,,83,18,45,51,28,18,8,,115,126,1,1,13,,7
"English, Tim",WB,18,129,77,113,242,8,11,287,39,14,31,40,37,18,18,4,122,129,23,13,50,1,2
"Wilkie, Callum",SK,19,178,61,62,240,,,,22,71,9,4,29,12,11,,76,120,12,,66,,
"Moore, Darcy",CW,18,146,87,92,238,,,,14,66,21,4,42,13,11,6,81,131,14,1,130,7,1
"Rowbottom, James",SY,16,132,22,105,237,4,4,,58,25,39,51,44,17,17,,128,117,2,1,15,,5
"Selwood, Joel",GE,14,124,34,113,237,4,4,,58,13,32,56,43,17,20,3,116,126,,1,28,,2
"Paton, Ben",SK,19,145,82,92,237,,,,20,50,18,3,28,15,9,,72,164,5,,24,7,
"Serong, Caleb",FR,14,127,32,109,236,2,1,,58,12,46,48,37,11,6,1,106,138,2,3,12,1,4
"Brayshaw, Angus",ME,14,116,40,117,233,5,6,,41,15,37,30,28,4,7,1,91,149,1,5,19,,2
"OBrien, Reilly",AD,17,107,64,125,232,,3,463,68,18,28,28,47,19,16,4,127,102,33,1,39,,3
"McIntosh, Kamdyn",RI,17,157,65,74,231,5,4,,28,24,56,12,41,9,11,,80,156,6,3,36,9,6
"Houli, Bachar",RI,12,127,47,104,231,,1,,27,44,26,9,26,6,6,1,48,166,2,1,16,7,2
"OConnor, Mark",GE,20,155,87,74,229,2,,,29,33,20,7,23,10,11,,67,159,,1,58,3,2
"Castagna, Jason",RI,20,134,69,93,227,16,11,,42,11,44,3,35,8,8,,64,162,3,25,13,1,6
"Ainsworth, Ben",GC,16,147,70,80,227,12,13,,27,11,59,10,34,15,9,2,80,152,5,13,10,4,6
"Elliott, Jamie",CW,18,141,51,86,227,10,10,,57,2,53,42,47,7,12,,91,131,6,14,22,9,6
"Graham, Jack",RI,15,103,31,120,223,2,2,,67,11,42,27,35,14,18,3,92,134,1,,11,1,7
"Newnes, Jack",CA,17,139,53,83,222,13,4,,44,22,39,7,34,7,11,1,69,144,,6,8,,6
"Lynch, Tom",AD,13,144,53,78,222,6,5,,13,17,29,13,31,7,6,,65,150,2,5,9,1,5
"Snelling, Will",ES,17,71,29,151,222,5,2,,79,12,24,29,41,14,12,,104,118,1,3,12,,6
"Gawn, Max",ME,14,142,63,80,222,1,1,458,35,25,32,48,35,32,9,13,127,90,26,3,60,,3
"Hurley, Michael",ES,14,154,86,66,220,,,,5,64,7,4,33,9,12,,47,147,8,,61,,1
"Hall, Aaron",NM,15,134,47,85,219,10,14,,37,9,49,21,32,6,8,1,77,145,5,10,5,4,8
"Dunkley, Josh",WB,12,85,28,134,219,6,5,12,71,9,27,33,24,10,9,4,114,112,4,4,16,,5
"Pickett, Marlion",RI,18,113,43,105,218,4,4,,64,15,42,19,54,6,13,,100,132,4,5,36,6,6
"Hughes, Ethan",FR,17,140,79,77,217,,,,20,34,15,4,26,11,9,,71,142,8,1,49,2,
"Petrevski-Seton, Sam",CA,16,155,49,62,217,,,,36,38,14,15,28,10,8,,94,121,1,,15,,2
"Hibberd, Michael",ME,14,135,62,79,214,1,,,14,41,22,4,29,13,6,,56,145,6,1,30,,1
"Sidebottom, Steele",CW,9,112,33,101,213,5,3,,38,13,27,24,23,8,4,6,71,135,1,1,22,,6
"Taranto, Tim",GW,11,132,30,80,212,4,3,,45,14,35,42,38,11,12,3,93,111,2,3,7,,3
"Lipinski, Patrick",WB,13,90,32,121,211,5,4,,30,14,24,15,26,6,7,,70,142,1,3,16,1,5
"Bews, Jed",GE,19,141,65,68,209,3,2,,33,33,25,17,20,11,9,1,75,132,3,2,30,,3
"Shaw, Heath",GW,17,162,78,47,209,3,1,1,38,51,15,6,39,7,16,,58,142,4,2,57,4,
"Crozier, Hayden",WB,15,154,59,55,209,2,2,,40,38,27,6,31,15,11,,51,161,3,2,51,3,3
"Butler, Dan",SK,19,156,37,51,207,29,12,,74,7,53,5,39,14,15,8,69,125,2,14,10,12,10
"Gibbons, Michael",CA,15,144,51,63,207,11,6,,42,7,49,23,38,10,14,4,68,142,1,12,16,4,10
"Ebert, Brad",PA,14,131,52,76,207,11,14,,55,7,44,13,40,16,9,1,86,123,6,10,25,1,8
"Ah Chee, Callum",BL,18,138,63,69,207,3,4,,52,32,35,10,46,9,14,,79,127,6,4,25,2,1
"Greene, Toby",GW,13,122,52,84,206,17,11,,19,6,33,15,36,8,11,12,87,115,12,18,11,,10
"Rozee, Connor",PA,16,106,40,100,206,9,9,,52,3,42,22,38,6,10,,83,129,1,8,28,1,5
"Hardwick, Blake",HW,16,139,45,67,206,1,,,21,59,18,6,22,2,7,,60,120,2,1,47,,2
"Jonas, Tom",PA,19,138,76,68,206,,1,,30,54,16,5,34,7,14,,86,119,10,,136,,
"Wilson, Nathan",FR,15,153,50,52,205,1,1,,14,64,22,6,20,9,3,,48,135,,,40,11,
"Mayne, Chris",CW,14,89,50,116,205,,2,,38,10,9,12,18,8,8,,64,134,3,2,27,1,1
"Redden, Jack",WC,13,98,44,106,204,1,1,,31,15,24,29,29,12,8,,76,133,1,1,14,,1
"Nelson, Jackson",WC,15,150,61,54,204,,,,31,39,14,10,16,7,6,,52,132,1,1,27,,2
"Martin, Jack",CA,15,115,64,88,203,12,11,,48,13,32,21,37,16,16,4,89,120,6,18,19,3,7
"Birchall, Grant",BL,16,150,69,53,203,,,,16,42,27,10,14,6,4,,38,148,2,,21,3,1
"Scrimshaw, Jack",HW,13,121,51,82,203,,,,23,40,19,5,30,7,7,,56,130,7,,28,1,1
"Dahlhaus, Luke",GE,15,82,43,120,202,7,,,34,7,27,10,20,5,4,,68,137,3,5,9,,5
"Papley, Tom",SY,17,148,57,52,200,26,27,,29,3,47,21,42,19,16,6,93,119,3,22,17,9,9
"Gardiner, Darcy",BL,18,139,71,60,199,,,,25,35,22,3,41,9,20,,83,115,11,,88,,2
"Conca, Reece",FR,14,140,48,59,199,,,,38,45,5,8,34,9,13,,51,144,2,1,29,3,3
"Duursma, Xavier",PA,15,114,52,83,197,7,3,,36,15,35,17,28,16,7,,81,121,3,6,12,2,3
"Powell, Wil",GC,15,102,50,95,197,2,,,25,41,18,6,30,7,6,,69,132,5,1,30,,4
"Howard, Dougal",SK,19,159,76,38,197,1,1,3,23,66,10,2,42,9,17,,56,114,8,,139,,1
"Brown, Luke",AD,17,141,46,56,197,,1,,35,67,15,7,24,13,9,,61,96,2,,37,1,2
"McKenzie, Trent",PA,17,169,75,28,197,,2,,18,62,15,2,29,14,10,,63,108,14,,61,,
"Sicily, James",HW,11,146,62,50,196,2,1,,9,59,20,3,26,12,7,,62,116,16,2,47,2,1
"Hoskin-Elliott, Will",CW,18,123,85,72,195,11,8,,17,4,32,7,23,7,7,,60,134,8,9,21,,8
"Ryan, Liam",WC,18,140,66,54,194,26,16,,32,3,38,7,30,13,7,1,91,100,18,30,23,3,10
"Gresham, Jade",SK,11,111,25,83,194,7,6,,21,5,36,51,37,10,13,5,101,83,2,5,10,9,5
"Daniels, Brent",GW,16,100,31,94,194,5,8,,42,3,43,19,29,7,11,2,79,111,,2,16,9,9
"Grimes, Dylan",RI,19,123,77,70,193,,1,,35,26,10,1,30,15,12,,66,112,14,,96,4,
"Naitanui, Nic",WC,17,109,13,83,192,5,4,496,40,8,61,96,41,21,19,5,160,41,8,,56,,7
"Harmes, James",ME,13,87,30,105,192,2,2,,27,13,23,17,37,8,15,,81,116,1,3,12,1,
"Yeo, Elliot",WC,10,107,22,85,192,,1,,56,4,33,61,48,5,25,8,109,80,3,,15,1,2
"Henry, Jack",GE,20,149,79,42,191,1,,,34,44,19,5,38,7,19,,71,126,7,2,93,2,2
"Rioli, Daniel",RI,17,101,46,89,190,12,3,,53,4,37,11,33,13,7,,67,130,,7,13,5,3
"Scully, Tom",HW,14,104,34,86,190,4,2,,16,11,34,8,39,4,10,,55,140,1,5,13,,11
"Sloane, Rory",AD,12,92,15,97,189,5,3,,49,10,35,42,27,16,11,3,100,85,1,1,24,2,5
"Weitering, Jacob",CA,17,146,74,42,188,,1,,17,63,18,5,36,13,13,1,87,97,15,,128,1,1
"Hipwood, Eric",BL,19,147,79,40,187,24,19,,17,,40,1,41,13,17,1,80,105,21,31,34,2,8
"Williams, Zac",GW,11,136,38,50,186,2,2,,25,27,17,13,23,7,7,1,55,122,3,1,16,5,1
"Membrey, Tim",SK,18,129,83,55,184,20,9,3,27,1,40,,30,11,9,,73,107,19,24,27,1,6
"Long, Ben",SK,15,90,49,94,184,,1,,30,24,16,11,41,12,20,2,97,105,8,,46,7,
"Richards, Ed",WB,17,93,24,90,183,6,7,,34,9,42,10,30,12,10,,81,103,1,3,25,16,7
"Walker, Josh",NM,17,107,65,75,182,3,3,2,19,21,11,1,30,11,10,,82,95,27,8,52,1,2
"Gunston, Jack",HW,16,133,68,48,181,31,21,,22,9,31,3,25,10,9,5,74,102,12,31,18,,9
"Barrass, Tom",WC,18,144,94,37,181,,,,4,47,10,1,18,12,8,3,64,121,20,,166,1,3
"Corr, Aidan",GW,15,143,59,37,180,,1,,22,68,10,2,26,4,6,,41,89,7,,74,2,
"Keath, Alex",WB,18,113,70,66,179,1,1,,15,36,8,3,23,12,8,,68,116,13,1,81,2,
"Taylor, Harry",GE,18,112,61,67,179,1,,1,25,20,13,2,23,12,9,,71,113,7,1,89,,2
"Brown, Callum",CW,14,69,24,109,178,6,2,,29,5,21,8,25,11,7,,80,105,1,5,8,,6
"Lever, Jake",ME,17,121,75,57,178,,,,25,42,12,1,24,11,9,,79,102,11,,109,,
"Cameron, Charlie",BL,19,139,64,38,177,31,22,,42,2,39,6,35,20,17,1,71,106,10,28,14,9,5
"Lester, Ryan",BL,15,107,62,70,177,,1,,35,28,8,4,25,7,10,,63,105,11,,52,,
"Cameron, Jeremy",GW,17,121,67,55,176,24,13,2,24,4,37,5,41,15,25,3,85,96,19,21,32,1,9
"Fritsch, Bayley",ME,16,128,81,48,176,22,24,,17,4,31,,35,10,10,1,58,120,14,37,18,,12
"Henderson, Lachie",GE,13,132,89,44,176,1,,,16,36,13,3,26,3,10,,43,123,11,1,46,,
"Clurey, Tom",PA,18,135,78,40,175,,,,18,40,16,1,27,13,13,1,61,110,11,,92,2,
"Collins, Sam",GC,17,107,74,68,175,,,,27,45,9,3,19,18,6,,84,87,18,,107,,1
"Bewley, Brett",FR,12,100,40,74,174,5,,,21,14,25,12,11,6,1,,53,120,,,6,3,3
"Lobb, Rory",FR,17,116,63,57,173,10,6,156,24,12,40,15,33,15,6,3,104,81,37,16,35,,5
"Smith, Isaac",HW,10,100,35,73,173,5,2,,21,19,32,10,30,2,7,3,45,125,1,3,10,2,
"Balta, Noah",RI,16,123,63,49,172,1,1,1,14,52,12,,37,10,15,1,66,102,16,1,81,1,1
"Day, Will",HW,11,100,48,72,172,1,1,,15,28,18,5,19,10,3,,45,115,4,2,26,,
"Witts, Jarrod",GC,17,98,37,73,171,,3,477,28,9,32,53,42,18,21,2,103,70,9,4,53,,3
"Andrews, Harris",BL,16,113,71,58,171,,,,17,41,8,2,17,14,8,4,79,93,17,,150,,1
"Duman, Taylin",FR,15,113,46,58,171,,,,29,37,16,8,27,10,8,,70,100,2,,56,2,1
"Sinclair, Jack",SK,12,98,30,73,171,,1,,30,16,36,27,15,6,3,,72,99,1,3,13,5,9
"Dixon, Charlie",PA,18,110,69,60,170,34,21,46,30,2,19,11,45,18,14,9,125,54,46,34,36,,6
